domainID,siteID,plotID,rootNPercent,rootCPercent,rootCNratio,rootSample_n,plotType,litterNPercent,foliarNPercent,foliarCPercent,foliarCNRatio,soilNPercent_OHoriz,soilCPercent_OHoriz,soilCNRatio_OHoriz,soilNPercent_MHoriz,soilCPercent_MHoriz,soilCNRatio_MHoriz,nlcdClass,decimalLatitude,decimalLongitude,easting,northing,utmZone,elevation
D17,SJER,SJER_047,1.162,42.96,41.64,5,tower,0.85,2.42,46.486666666666665,21.233333333333334,NA,NA,NA,0.07,0.8333333333333333,12,NA,NA,NA,NA,NA,NA,NA
D17,SJER,SJER_048,1.26875,42.465,42.125,8,NA,NA,2.126,45.136,21.880000000000003,NA,NA,NA,0.07666666666666667,0.8566666666666667,11.233333333333333,evergreenForest,37.110011,-119.735219,256956.7,4110578.07,11N,382.4
D17,SJER,SJER_049,1.104,40.206,47.56,5,tower,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.114249,-119.728962,257526.32,4111032.35,11N,426.5
D17,SJER,SJER_050,0.6866666666666666,38.504999999999995,88.85,6,tower,0.8300000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.112354,-119.739352,256596.89,4110848.67,11N,389.6
D17,SJER,SJER_051,1.24,37.35,30.1,1,tower,0.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.112335,-119.741378,256416.77,4110851.76,11N,381.6
D17,SJER,SJER_052,0.662,40.354,81.82,5,tower,1.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.109472,-119.723712,257977.68,4110488.84,11N,431.9
D17,SJER,SJER_053,1.135,41.3275,41.1,4,tower,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,grasslandHerbaceous,37.110797,-119.736579,256838.35,4110668.77,11N,387.5
D17,SJER,SJER_054,1.0274999999999999,41.3475,44.5,4,tower,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.116299,-119.732736,257197.48,4111269.49,11N,465.3
D17,SJER,SJER_055,1.0175,43.15,49.3375,8,tower,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,deciduousForest,37.115868,-119.727986,257618.23,4111209.51,11N,427.5
D17,SJER,SJER_056,1.1125,37.3625,44.975,4,tower,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.116232,-119.73577,256927.64,4111269.82,11N,456.6
D17,SJER,SJER_057,1.3116666666666668,40.473333333333336,33.083333333333336,6,tower,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.112613,-119.727884,257616.91,4110848.04,11N,434.7
D17,SJER,SJER_058,1.3175,41.8975,35.675,4,tower,0.765,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.104331,-119.735693,256896.41,4109948.97,11N,382.9
D17,SJER,SJER_059,1.2183333333333333,43.07833333333333,43.5,6,tower,0.6599999999999999,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.10469,-119.731996,257226.15,4109979.34,11N,415.2
D17,SJER,SJER_060,0.915,41.7325,61.775,4,tower,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.114138,-119.733337,257137.16,4111031.22,11N,433.2
D17,SJER,SJER_061,1.22,39.635000000000005,32.725,4,tower,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.113727,-119.739391,256597.82,4111001.13,11N,399.6
D17,SJER,SJER_062,1.2833333333333332,34.556666666666665,27.033333333333335,3,tower,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SJER,SJER_063,1.386,39.098,29.46,5,tower,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.110752,-119.738942,256628.19,4110669.84,11N,378
D17,SJER,SJER_064,1.1933333333333334,39.937777777777775,47.21111111111111,9,tower,0.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.109145,-119.726406,257737.2,4110459.43,11N,446.9
D17,SOAP,SOAP_031,0.8522222222222222,48.99333333333333,57.5375,9,tower,1.0899999999999999,1.17,48.694,45.26,NA,NA,NA,0.10333333333333333,2.2633333333333336,22.1,evergreenForest,37.035341,-119.252226,299684.28,4101164.91,11N,1109.8
D17,SOAP,SOAP_043,0.795,47.7625,60.614285714285714,8,tower,0.7233333333333333,1.5899999999999999,48.99333333333333,43.733333333333334,NA,NA,NA,0.09,1.8933333333333333,21.333333333333332,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_044,0.7811111111111111,47.04111111111111,60.575,9,tower,0.97,1.3266666666666667,48.916666666666664,41.1,NA,NA,NA,0.17333333333333334,3.9633333333333334,22.6,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_045,1.0144444444444445,48.74666666666667,50.833333333333336,9,tower,1.29,1.562,48.967999999999996,39.480000000000004,NA,NA,NA,0.20333333333333334,4.3933333333333335,21.9,evergreenForest,37.033027,-119.257546,299204.95,4100919.38,11N,1167.2
D17,SOAP,SOAP_046,0.80375,48.73375,68.65,8,tower,0.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_047,0.875,49.09125,58.6875,8,tower,0.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.034398,-119.257597,299204.03,4101071.61,11N,1183.4
D17,SOAP,SOAP_048,0.7788888888888889,49.053333333333335,58.67142857142857,9,tower,0.8266666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_049,0.9622222222222222,49.904444444444444,52.51111111111111,9,tower,1.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.035049,-119.25356,299564.85,4101135.32,11N,1132.3
D17,SOAP,SOAP_050,0.9328571428571428,46.004285714285714,54.31428571428572,7,tower,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_051,1.09,47.0625,46.5625,8,tower,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_052,0.8711111111111111,46.24888888888889,58.78888888888889,9,tower,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_053,0.78,48.22666666666667,59.25,9,tower,0.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.033627,-119.255872,299355.44,4100982.42,11N,1161.1
D17,SOAP,SOAP_054,0.8075,49.685,59.733333333333334,8,tower,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_055,0.83625,48.715,61.0375,8,tower,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_056,0.8544444444444445,50.56777777777778,56.775,9,tower,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.034482,-119.254904,299443.8,4101075.24,11N,1144.4
D17,SOAP,SOAP_057,0.9722222222222222,48.041111111111114,55.03333333333333,9,tower,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_058,0.96875,47.8675,52.4375,8,tower,0.8200000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_059,0.8828571428571429,50.02428571428572,59.37142857142857,7,tower,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_060,1.04375,48.067499999999995,46.825,8,tower,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D17,SOAP,SOAP_061,0.7922222222222222,47.605555555555554,57.125,9,tower,0.9700000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,evergreenForest,37.034147,-119.271407,297974.89,4101073.01,11N,1296.4
D18,TOOL,TOOL_041,0.724,46.294000000000004,71.32,5,NA,NA,1.69,52,30.9,1.2566666666666668,37.24666666666667,30.966666666666665,0.15,3.09,20.7,NA,NA,NA,NA,NA,NA,NA
D18,TOOL,TOOL_042,0.77,47.42,63.725,4,NA,NA,1.95,49.52,25.4,1.1433333333333333,32.263333333333335,28.6,0.20333333333333334,4.63,22.833333333333336,NA,NA,NA,NA,NA,NA,NA
