"uid","namedLocation","domainID","siteID","plotID","collectDate","sampleID","sampleCode","kclSampleID","kclSampleCode","sampleCondition","ammoniumNAnalysisDate","kclAmmoniumNConc","ammoniumNRepNum","ammoniumNQF","ammoniumNRemarks","nitrateNitriteNAnalysisDate","kclNitrateNitriteNConc","nitrateNitriteNRepNum","nitrateNitriteNQF","nitrateNitriteNRemarks","laboratoryName","ammoniumNMethod","ammoniumNInstrument","ammoniumNAnalyzedBy","ammoniumNReviewedBy","nitrateNitriteNMethod","nitrateNitriteNInstrument","nitrateNitriteNAnalyzedBy","nitrateNitriteNReviewedBy","dataQF"
"e43a3b1b-7991-4af1-b6a3-67c187484672","HARV_005.basePlot.bgc","D01","HARV","HARV_005","2018-04-17T17:36Z","HARV_005-M-36-21-20180417","A00000001244","HARV_005-M-36-21-20180417-KCL","B00000006322","ok","2019-01-30",0.282,1,"0",NA,"2019-02-04",0.11,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"d0a26c65-8b2c-46ba-b0b6-c08a542954df","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T17:43Z","HARV_021-O-16.5-6-20180417","A00000001282","HARV_021-O-16.5-6-20180417-KCL","B00000006309","ok","2019-01-30",0.078,1,"0",NA,"2019-02-04",0.057,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"b702aae4-5e8c-4b71-b476-3a229255844c","HARV_005.basePlot.bgc","D01","HARV","HARV_005","2018-04-17T17:48Z","HARV_005-M-21.5-5.5-20180417","A00000001246","HARV_005-M-21.5-5.5-20180417-KCL","B00000006276","ok","2019-01-30",0.215,1,"0",NA,"2019-02-04",0.074,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"50e1cdc7-efad-4dca-a369-b033876044c0","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T17:52Z","HARV_021-M-16.5-6-20180417","A00000001261","HARV_021-M-16.5-6-20180417-KCL","B00000006319","ok","2019-01-30",0.039,1,"0",NA,"2019-02-04",0.123,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"9522d5b6-870c-41a8-b24e-ac4a12d98da8","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T18:10Z","HARV_021-O-28.5-1-20180417","A00000001281","HARV_021-O-28.5-1-20180417-KCL","B00000006285","ok","2019-01-30",0.048,1,"0",NA,"2019-02-04",0.056,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"4f221610-8b27-4c8f-b162-a4a4e3ba60f3","HARV_021.basePlot.bgc","D01","HARV","HARV_021","2018-04-17T18:21Z","HARV_021-M-28.5-1-20180417","A00000001260","HARV_021-M-28.5-1-20180417-KCL","B00000006320","ok","2019-01-30",0.071,1,"0",NA,"2019-02-04",0.104,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"ac281097-e5aa-4472-b91f-fd5a08a0fd38","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T14:26Z","HARV_013-O-10.5-37-20180418","A00000001284","HARV_013-O-10.5-37-20180418-KCL","B00000006288","ok","2019-01-30",0.077,1,"0",NA,"2019-02-04",0.095,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"fc72b06a-9fe3-4144-90f0-643f88ee23fb","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T14:33Z","HARV_013-M-10.5-37-20180418","A00000001263","HARV_013-M-10.5-37-20180418-KCL","B00000006273","ok","2019-01-30",0.086,1,"0",NA,"2019-02-04",0.108,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"da0d9bda-bd50-4b96-984b-63a77d12797f","HARV_033.basePlot.bgc","D01","HARV","HARV_033","2018-04-18T14:41Z","HARV_033-M-14.5-0-20180418","A00000001258","HARV_033-M-14.5-0-20180418-KCL","B00000006283","ok","2019-01-30",0.108,1,"0",NA,"2019-02-04",0.112,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
"e7eb92b7-1a7d-475c-a0b1-d249854ecebe","HARV_013.basePlot.bgc","D01","HARV","HARV_013","2018-04-18T14:53Z","HARV_013-O-30-30.5-20180418","A00000001267","HARV_013-O-30-30.5-20180418-KCL","B00000006282","ok","2019-01-30",0.071,1,"0",NA,"2019-02-04",0.069,1,"0",NA,"EcoCore_CSU","Salicylate/nitroferricyanide (EPA 353.2)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==","Cd reduction/sulfanilamide (DIN 38406)","OI Analytical 3700 Automated Chemistry Analyzer","Wy/3diD3cK1DOxVNruNwvg==","RHMxnCcsszGVJJM0CIC3lw==",""
