"uid","siteID","extractionStartDate","extractionEndDate","kclReferenceID","kclBlank1ID","kclBlank1Code","kclBlank2ID","kclBlank2Code","kclBlank3ID","kclBlank3Code","remarks","dataQF"
"37fdeb58-7071-402c-8fa8-ab4fdedb4b1d","UKFS","2018-03-20","2018-03-20","UKFS-20180320-BREF1","UKFS-20180320-BREF1-A","B00000015653","UKFS-20180320-BREF1-B","B00000015654","UKFS-20180320-BREF1-C","B00000015645",NA,NA
"05ca1912-4bf1-469f-a414-63e7d372e2bf","UKFS","2018-03-21","2018-03-21","UKFS-20180321-BREF1","UKFS-20180321-BREF1-A","B00000015663","UKFS-20180321-BREF1-B","B00000015659","UKFS-20180321-BREF1-C","B00000015662",NA,NA
"740f7831-4e4e-4738-99ba-129f4cddc37d","UKFS","2018-03-22","2018-03-22","UKFS-20180322-BREF1","UKFS-20180322-BREF1-A","B00000015686","UKFS-20180322-BREF1-B","B00000015691","UKFS-20180322-BREF1-C","B00000015690",NA,NA
"023f7068-07ad-4c0a-ab9d-dafe5a258076","UKFS","2018-04-10","2018-04-10","UKFS-20180410-BREF1","UKFS-20180410-BREF1-A","B00000015742","UKFS-20180410-BREF1-B","B00000015681","UKFS-20180410-BREF1-C","B00000015671",NA,NA
"5013bbee-4072-4d94-8d67-fb98204bcfb2","UKFS","2018-04-11","2018-04-11","UKFS-20180411-BREF1","UKFS-20180411-BREF1-A","B00000015737","UKFS-20180411-BREF1-B","B00000015738","UKFS-20180411-BREF1-C","B00000015739",NA,NA
"af8f1bab-32c7-4ceb-b817-fc10bbf5f35e","UKFS","2018-08-14","2018-08-14","UKFS-20180814-BREF1","UKFS-20180814-BREF1-A","B00000015817","UKFS-20180814-BREF1-B","B00000015806","UKFS-20180814-BREF1-C","B00000015834",NA,NA
"e77fd380-5a9c-401a-a01b-6223b61075d0","UKFS","2018-08-15","2018-08-15","UKFS-20180815-BREF1","UKFS-20180815-BREF1-A","B00000016234","UKFS-20180815-BREF1-B","B00000016264","UKFS-20180815-BREF1-C","B00000016254",NA,NA
"ece10a8e-5860-435d-b86c-65ba6f5b2cc6","UKFS","2018-08-15","2018-08-15","UKFS-20180815-BREF2","UKFS-20180815-BREF2-A","B00000016245","UKFS-20180815-BREF2-B","B00000016244","UKFS-20180815-BREF2-C","B00000015833",NA,NA
"645036cf-0eb1-4d26-aa73-c4f3ffa59553","UKFS","2018-08-16","2018-08-16","UKFS-20180816-BREF1","UKFS-20180816-BREF1-A","B00000016313","UKFS-20180816-BREF1-B","B00000016312","UKFS-20180816-BREF1-C","B00000016314",NA,NA
"23eabb04-d2e4-4831-9c60-6c9333524a6b","UKFS","2018-08-28","2018-08-28","UKFS-20180828-BREF1","UKFS-20180828-BREF1-A","B00000016304","UKFS-20180828-BREF1-B","B00000016355","UKFS-20180828-BREF1-C","B00000016305",NA,NA
"3cc00f63-907d-4333-b63e-bdb3029d3468","UKFS","2018-08-30","2018-08-30","UKFS-20180830-BREF1","UKFS-20180830-BREF1-A","B00000016571","UKFS-20180830-BREF1-B","B00000016574","UKFS-20180830-BREF1-C","B00000016575",NA,NA
"fd5da1c2-5702-45c7-8165-348eca054b10","UKFS","2018-10-30","2018-10-30","UKFS-20181030-BREF1","UKFS-20181030-BREF1-A","D00000006238","UKFS-20181030-BREF1-B","D00000006239","UKFS-20181030-BREF1-C","D00000006240",NA,NA
"99b8e968-92dc-400b-8660-6d09c33bed36","UKFS","2018-11-01","2018-11-01","UKFS-20181101-BREF1","UKFS-20181101-BREF1-A","B00000016689","UKFS-20181101-BREF1-B","B00000016684","UKFS-20181101-BREF1-C","B00000016688",NA,NA
"577056df-a6d6-43d0-9835-875d52faa33d","UKFS","2018-11-28","2018-11-28","UKFS-20181128-BREF1","UKFS-20181128-BREF1-A","B00000016714","UKFS-20181128-BREF1-B","B00000016713","UKFS-20181128-BREF1-C","B00000016726",NA,NA
"e5c47710-9701-4e41-af7b-362ec8e710ae","MLBS","2018-04-24","2018-04-24","MLBS-20180424-BREF1","MLBS-20180424-BREF1-A","A00000011462","MLBS-20180424-BREF1-B","A00000011312","MLBS-20180424-BREF1-C","A00000011318",NA,NA
"77c2f7ed-e714-4f1b-8749-19f11d1e2cfb","MLBS","2018-04-25","2018-04-25","MLBS-20180425-BREF1","MLBS-20180425-BREF1-A","A00000011419","MLBS-20180425-BREF1-B","A00000011430","MLBS-20180425-BREF1-C","A00000011319",NA,NA
"2c3cedb8-d0b7-4f25-9025-812b347a936a","MLBS","2018-04-26","2018-04-26","MLBS-20180426-BREF1","MLBS-20180426-BREF1-A","A00000011469","MLBS-20180426-BREF1-B","A00000011468","MLBS-20180426-BREF1-C","A00000011470",NA,NA
"d2b7fcb0-f2ac-4598-b22b-4a2db29519e4","MLBS","2018-05-15","2018-05-15","MLBS-20180515-BREF1","MLBS-20180515-BREF1-A","A00000011375","MLBS-20180515-BREF1-B","A00000011374","MLBS-20180515-BREF1-C","A00000011373",NA,NA
"813db591-c223-4503-8365-831ac09eff3a","MLBS","2018-06-12","2018-06-12","MLBS-20180612-BREF1","MLBS-20180612-BREF1-A","B00000025610","MLBS-20180612-BREF1-B","B00000025612","MLBS-20180612-BREF1-C","B00000025611",NA,NA
"cde5eb0d-e336-4ca0-b3e2-1e69fa70f441","MLBS","2018-06-13","2018-06-13","MLBS-20180613-BREF2","MLBS-20180613-BREF2-A","B00000025655","MLBS-20180613-BREF2-B","B00000025657","MLBS-20180613-BREF2-C","B00000025656",NA,NA
"dcaa0479-767e-427b-bb61-1ded1d233e7d","MLBS","2018-06-13","2018-06-13","MLBS-20180613-BREF1","MLBS-20180613-BREF1-A","B00000025670","MLBS-20180613-BREF1-B","B00000025672","MLBS-20180613-BREF1-C","B00000025671",NA,NA
"1a8768c1-c250-48b8-8d6d-9faf16151955","MLBS","2018-07-04","2018-07-04","MLBS-20180704-BREF1","MLBS-20180704-BREF1-A","B00000025679","MLBS-20180704-BREF1-B","B00000025678","MLBS-20180704-BREF1-C","B00000025677",NA,NA
"96b62222-483c-4f37-94c6-f2df647a98d9","MLBS","2018-07-04","2018-07-04","MLBS-20180704-BREF2","MLBS-20180704-BREF2-A","B00000025680","MLBS-20180704-BREF2-B","B00000025674","MLBS-20180704-BREF2-C","B00000025685",NA,NA
"3601a0f9-fad6-41b2-899c-72c6a9a4ffaa","MLBS","2018-10-09","2018-10-09","MLBS-20181009-BREF1","MLBS-20181009-BREF1-A","B00000026432","MLBS-20181009-BREF1-B","B00000026421","MLBS-20181009-BREF1-C","B00000026438",NA,NA
"b09190f9-e13c-4f26-b464-f2b917953d36","MLBS","2018-10-10","2018-10-10","MLBS-20181010-BREF1","MLBS-20181010-BREF1-A","B00000026400","MLBS-20181010-BREF1-B","B00000026401","MLBS-20181010-BREF1-C","B00000026399",NA,NA
"ca834247-df34-4069-bcb4-fda70ab121be","MLBS","2018-10-29","2018-10-29","MLBS-20181029-BREF1","MLBS-20181029-BREF1-A","B00000026352","MLBS-20181029-BREF1-B","B00000026351","MLBS-20181029-BREF1-C","B00000026350",NA,NA
"b5f09ebd-b78e-47ea-8f5c-96be2e30af43","MLBS","2018-10-30","2018-10-30","MLBS-20181030-BREF2","MLBS-20181030-BREF2-A","B00000026478","MLBS-20181030-BREF2-B","B00000026479","MLBS-20181030-BREF2-C","B00000026480",NA,NA
"6bd9d255-98c0-424f-a0b4-486679b7eed9","MLBS","2018-10-30","2018-10-30","MLBS-20181030-BREF1","MLBS-20181030-BREF1-A","B00000026474","MLBS-20181030-BREF1-B","B00000026475","MLBS-20181030-BREF1-C","B00000026476",NA,NA
"a34e267d-06c5-4f48-bb3d-14923987a95a","MLBS","2018-10-30","2018-10-30","MLBS-20181030-BREF3","MLBS-20181030-BREF3-A","B00000026482","MLBS-20181030-BREF3-B","B00000026481","MLBS-20181030-BREF3-C","B00000026477",NA,NA
"c06f34fa-fe6e-4067-be16-2f13ccf124f3","ORNL","2017-04-05","2017-04-05","ORNL-20170405-BREF1","ORNL-20170405-BREF1-A",NA,"ORNL-20170405-BREF1-B",NA,"ORNL-20170405-BREF1-C",NA,NA,NA
"ebe93d21-4490-4ebf-b379-1b54045f9e9b","ORNL","2017-04-28","2017-04-28","ORNL-20170428-BREF1","ORNL-20170428-BREF1-A",NA,"ORNL-20170428-BREF1-B",NA,"ORNL-20170428-BREF1-C",NA,NA,NA
"c24c30e5-5150-4b63-b2fe-a3c1a5849135","ORNL","2017-06-20","2017-06-20","ORNL-20170620-BREF1","ORNL-20170620-BREF1-A",NA,"ORNL-20170620-BREF1-B",NA,"ORNL-20170620-BREF1-C",NA,NA,NA
"f8caae1c-5cac-4b04-811e-2f0990fe708d","ORNL","2017-06-22","2017-06-22","ORNL-20170622-BREF1","ORNL-20170622-BREF1-A",NA,"ORNL-20170622-BREF1-B",NA,"ORNL-20170622-BREF1-C",NA,NA,NA
"d5bdfc2a-47b9-4778-9da8-35f32d6d7376","ORNL","2017-07-07","2017-07-07","ORNL-20170707-BREF1","ORNL-20170707-BREF1-A",NA,"ORNL-20170707-BREF1-B",NA,"ORNL-20170707-BREF1-C",NA,NA,NA
"216de9dc-84a8-4c3d-a0b5-5a0ef7533f68","ORNL","2017-10-24","2017-10-24","ORNL-20171024-BREF1","ORNL-20171024-BREF1-A",NA,"ORNL-20171024-BREF1-B",NA,"ORNL-20171024-BREF1-C",NA,NA,NA
"1b222cf0-5f7c-411c-bcfc-a9c8b6b0cac7","ORNL","2017-10-25","2017-10-25","ORNL-20171025-BREF1","ORNL-20171025-BREF1-A",NA,"ORNL-20171025-BREF1-B",NA,"ORNL-20171025-BREF1-C",NA,NA,NA
"f6a84353-2001-491b-b179-98edc1c28dad","ORNL","2017-10-27","2017-10-27","ORNL-20171027-BREF1","ORNL-20171027-BREF1-A",NA,"ORNL-20171027-BREF1-B",NA,"ORNL-20171027-BREF1-C",NA,NA,NA
"e7c4caea-5bfe-48b5-8e6e-e62c6a77f653","ORNL","2017-11-14","2017-11-14","ORNL-20171114-BREF1","ORNL-20171114-BREF1-A",NA,"ORNL-20171114-BREF1-B",NA,"ORNL-20171114-BREF1-C",NA,"",NA
"d48346af-6d17-4db6-830c-11fb82722291","ORNL","2017-11-16","2017-11-16","ORNL-20171116-BREF2","ORNL-20171116-BREF2-A",NA,"ORNL-20171116-BREF2-B",NA,"ORNL-20171116-BREF2-C",NA,"",NA
"07038b09-08e3-47c6-bc66-4aadd7302fb8","ORNL","2017-11-16","2017-11-16","ORNL-20171116-BREF3","ORNL-20171116-BREF3-A",NA,"ORNL-20171116-BREF3-B",NA,"ORNL-20171116-BREF3-C",NA,"",NA
"d853e37f-7f8a-48ac-8f75-b5a2f9a410c3","ORNL","2017-11-16","2017-11-16","ORNL-20171116-BREF1","ORNL-20171116-BREF1-A",NA,"ORNL-20171116-BREF1-B",NA,"ORNL-20171116-BREF1-C",NA,"Some floating material in the last portions of BRef-1 batch filtered out before combining with samples",NA
"30ef04f8-9742-4c97-9e01-4d2eb70e3f25","DELA","2019-05-14","2019-05-14","DELA-20190514-BREF1","DELA-20190514-BREF1-A","B00000055613","DELA-20190514-BREF1-B","B00000055614","DELA-20190514-BREF1-C","B00000055615",NA,NA
"eb432f09-5734-4ba3-a3f9-525db12b3405","DELA","2019-05-16","2019-05-16","DELA-20190516-BREF1","DELA-20190516-BREF1-A","B00000004894","DELA-20190516-BREF1-B","B00000004892","DELA-20190516-BREF1-C","B00000004893",NA,NA
"4e3a3967-abe7-4703-9123-ccba239bd45b","DELA","2019-06-04","2019-06-04","DELA-20190604-BREF1","DELA-20190604-BREF1-A","B00000004928","DELA-20190604-BREF1-B","B00000004929","DELA-20190604-BREF1-C","B00000004930",NA,NA
"fb28bf88-3eef-4ef4-b087-080d7b12a82c","DELA","2019-06-25","2019-06-25","DELA-20190625-BREF1","DELA-20190625-BREF1-A","B00000005013","DELA-20190625-BREF1-B","B00000005014","DELA-20190625-BREF1-C","B00000005015",NA,NA
"9036561e-8c63-468c-bfea-33863c818f2d","DELA","2019-06-27","2019-06-27","DELA-20190627-BREF1","DELA-20190627-BREF1-A","B00000005036","DELA-20190627-BREF1-B","B00000005035","DELA-20190627-BREF1-C","B00000005034",NA,NA
"27f4c735-182a-4170-ae01-78374b8ea02f","DELA","2019-07-16","2019-07-16","DELA-20190716-BREF1","DELA-20190716-BREF1-A","B00000055720","DELA-20190716-BREF1-B","B00000055721","DELA-20190716-BREF1-C","B00000055722",NA,NA
"9d2b9342-975d-455f-b252-56cbbda6f61d","LENO","2018-04-25","2018-04-25","LENO-20180425-BREF1","LENO-20180425-BREF1-A","B00000003510","LENO-20180425-BREF1-B","B00000003509","LENO-20180425-BREF1-C","B00000003504",NA,NA
"e1657454-6b6a-4ac1-a46c-848a39f6f71f","LENO","2018-04-26","2018-04-26","LENO-20180426-BREF1","LENO-20180426-BREF1-A","B00000003554","LENO-20180426-BREF1-B","B00000003543","LENO-20180426-BREF1-C","B00000003539",NA,NA
"f44d2e2d-aa3b-4b21-b27b-48b31462cc03","LENO","2018-05-15","2018-05-15","LENO-20180515-BREF1","LENO-20180515-BREF1-A","B00000003586","LENO-20180515-BREF1-B","B00000003585","LENO-20180515-BREF1-C","B00000003584",NA,NA
"1719381b-b5d3-4c5e-a89c-5f2c42f635c7","LENO","2018-07-10","2018-07-10","LENO-20180710-BREF1","LENO-20180710-BREF1-A","B00000003757","LENO-20180710-BREF1-B","B00000003763","LENO-20180710-BREF1-C","B00000003739",NA,NA
"4b6966b8-9c75-4760-9db5-1c9c430c9f07","LENO","2018-07-12","2018-07-12","LENO-20180712-BREF1","LENO-20180712-BREF1-A","B00000003806","LENO-20180712-BREF1-B","B00000003776","LENO-20180712-BREF1-C","B00000003773",NA,NA
"549e8522-cbd5-4f55-968b-33126bd93c53","LENO","2018-08-01","2018-08-01","LENO-20180801-BREF2","LENO-20180801-BREF2-A","B00000003782","LENO-20180801-BREF2-B","B00000003797","LENO-20180801-BREF2-C","B00000003783",NA,NA
"58f37f2c-7863-48f6-96a4-5341a33f3aaf","LENO","2018-11-06","2018-11-06","LENO-20181106-BREF3","LENO-20181106-BREF3-A","B00000004300","LENO-20181106-BREF3-B","B00000004299","LENO-20181106-BREF3-C","B00000004301",NA,NA
"f494e330-6142-405d-9f15-8c1ed4b28373","LENO","2018-11-09","2018-11-09","LENO-20181109-BREF3","LENO-20181109-BREF3-A","B00000003753","LENO-20181109-BREF3-B","B00000004326","LENO-20181109-BREF3-C","B00000004325",NA,NA
"6eed48ae-41f3-483d-9284-7ed08990074b","LENO","2018-11-29","2018-11-29","LENO-20181129-BREF3","LENO-20181129-BREF3-A","B00000004429","LENO-20181129-BREF3-B","B00000004428","LENO-20181129-BREF3-C","B00000004427",NA,NA
"7dc2a794-8097-4db7-a0fd-b24738f68bda","TALL","2017-04-05","2017-04-05","TALL-20170405-BREF1","TALL-20170405-BREF1-A",NA,"TALL-20170405-BREF1-B",NA,"TALL-20170405-BREF1-C",NA,NA,NA
"fe2f70d5-450e-42de-922a-7757ce4c7eec","TALL","2017-04-07","2017-04-07","TALL-20170407-BREF1","TALL-20170407-BREF1-A",NA,"TALL-20170407-BREF1-B",NA,"TALL-20170407-BREF1-C",NA,NA,NA
"cb9d7ae5-e5e4-46e6-9792-54c6b0baf167","TALL","2017-04-25","2017-04-25","TALL-20170425-BREF1","TALL-20170425-BREF1-A",NA,"TALL-20170425-BREF1-B",NA,"TALL-20170425-BREF1-C",NA,NA,NA
"141f18a4-49de-414d-b7af-30e09530f4a2","TALL","2017-06-13","2017-06-13","TALL-20170613-BREF1","TALL-20170613-BREF1-A",NA,"TALL-20170613-BREF1-B",NA,"TALL-20170613-BREF1-C",NA,NA,NA
"15f320e1-9af6-44ff-b3c1-8e02b3c9781b","TALL","2017-06-15","2017-06-15","TALL-20170615-BREF1","TALL-20170615-BREF1-A",NA,"TALL-20170615-BREF1-B",NA,"TALL-20170615-BREF1-C",NA,NA,NA
"8f9c1844-d430-4009-a35c-daab13b2f54f","TALL","2017-06-27","2017-06-27","TALL-20170627-BREF1","TALL-20170627-BREF1-A",NA,"TALL-20170627-BREF1-B",NA,"TALL-20170627-BREF1-C",NA,NA,NA
"5f9f1594-4e20-4e20-b410-02225a90fc1b","TALL","2017-10-31","2017-10-31","TALL-20171031-BREF1","TALL-20171031-BREF1-A",NA,"TALL-20171031-BREF1-B",NA,"TALL-20171031-BREF1-C",NA,NA,NA
"9459a944-2403-4364-bfa3-0abc7008a08e","TALL","2017-11-02","2017-11-02","TALL-20171102-BREF2","TALL-20171102-BREF2-A",NA,"TALL-20171102-BREF2-B",NA,"TALL-20171102-BREF2-C",NA,NA,NA
"27838829-c4da-4ebe-a312-ab81ca533d20","TALL","2017-11-28","2017-11-28","TALL-20171128-BREF2","TALL-20171128-BREF2-A",NA,"TALL-20171128-BREF2-B",NA,"TALL-20171128-BREF2-C",NA,NA,NA
"ec5fd807-74bf-451e-be90-ac01f312d9e3","DCFS","2019-05-01","2019-05-01","DCFS-20190501-BREF1","DCFS-20190501-BREF1-A","B00000051178","DCFS-20190501-BREF1-B","B00000051179","DCFS-20190501-BREF1-C","B00000051180",NA,NA
"03e88f66-0fff-41dc-a0c4-148f2dceae35","DCFS","2019-05-02","2019-05-02","DCFS-20190502-BREF1","DCFS-20190502-BREF1-A","B00000051167","DCFS-20190502-BREF1-B","B00000051166","DCFS-20190502-BREF1-C","B00000051168",NA,NA
"bad31449-bf75-469e-aadd-85b50593778c","DCFS","2019-05-03","2019-05-03","DCFS-20190503-BREF1","DCFS-20190503-BREF1-A","B00000000430","DCFS-20190503-BREF1-B","B00000000431","DCFS-20190503-BREF1-C","B00000000429",NA,NA
"163968d4-a385-4c0f-a0d3-d06b520c75a1","DCFS","2019-05-07","2019-05-07","DCFS-20190507-BREF1","DCFS-20190507-BREF1-A","B00000000411","DCFS-20190507-BREF1-B","B00000000408","DCFS-20190507-BREF1-C","B00000000402",NA,NA
"16263461-4776-4896-81c0-5a00338fda23","DCFS","2019-05-29","2019-05-29","DCFS-20190529-BREF1","DCFS-20190529-BREF1-A","B00000000421","DCFS-20190529-BREF1-B","B00000000377","DCFS-20190529-BREF1-C","B00000000388",NA,NA
"30c058bb-ddf3-4482-a16c-11cd9f9c30f4","DCFS","2019-05-31","2019-05-31","DCFS-20190531-BREF1","DCFS-20190531-BREF1-A","B00000000380","DCFS-20190531-BREF1-B","B00000000366","DCFS-20190531-BREF1-C","B00000000378",NA,NA
"3fbd77f0-b46e-454e-b0d7-c6fd5161162e","DCFS","2019-07-30","2019-07-30","DCFS-20190730-BREF1","DCFS-20190730-BREF1-A","B00000000318","DCFS-20190730-BREF1-B","B00000000346","DCFS-20190730-BREF1-C","B00000000342",NA,NA
"0687ce02-f0da-47ae-85cb-c36667498b91","DCFS","2019-07-31","2019-07-31","DCFS-20190731-BREF1","DCFS-20190731-BREF1-A","B00000000289","DCFS-20190731-BREF1-B","B00000000297","DCFS-20190731-BREF1-C","B00000000294",NA,NA
"cd596949-9933-4610-8f70-67f63236c38d","DCFS","2019-08-12","2019-08-12","DCFS-20190812-BREF1","DCFS-20190812-BREF1-A","B00000000284","DCFS-20190812-BREF1-B","B00000000313","DCFS-20190812-BREF1-C","B00000000283",NA,NA
"8ab453d1-36bb-4731-a279-952b45f513ec","DCFS","2019-08-14","2019-08-14","DCFS-20190814-BREF1","DCFS-20190814-BREF1-A","B00000050666","DCFS-20190814-BREF1-B","B00000050665","DCFS-20190814-BREF1-C","B00000050664",NA,NA
"45202b44-3794-4129-a861-8a7f61a9d016","DCFS","2019-08-15","2019-08-15","DCFS-20190815-BREF1","DCFS-20190815-BREF1-A","B00000050641","DCFS-20190815-BREF1-B","B00000050640","DCFS-20190815-BREF1-C","B00000050633",NA,NA
"9c69bd9c-0d47-4b8c-9fa4-af85c90dad3a","STER","2017-04-06","2017-04-06","STER-20170406-BREF1","STER-20170406-BREF1-A",NA,"STER-20170406-BREF1-B",NA,"STER-20170406-BREF1-C",NA,NA,NA
"cdcff535-e231-4290-8f77-9c2074cab4ba","STER","2017-04-11","2017-04-11","STER-20170411-BREF1","STER-20170411-BREF1-A",NA,"STER-20170411-BREF1-B",NA,"STER-20170411-BREF1-C",NA,NA,NA
