domainID,siteID,plotID,plotType,rootNPercent,rootNPercent_n,rootCPercent,rootCPercent_n,rootCNratio,rootCNratio_n,litterNPercent_mean,litterNPercent_n,litterCPercent_mean,litterCPercent_n,litterCNRatio_mean,litterCNRatio_n,foliarNPercent_mean,foliarNPercent_n,foliarCPercent_mean,foliarCPercent_n,foliarCNRatio_mean,foliarCNRatio_n,soilNPercent_OHoriz_mean,soilNPercent_OHoriz_n,soilCPercent_OHoriz_mean,soilCPercent_OHoriz_n,soilCNRatio_OHoriz_mean,soilCNRatio_OHoriz_n,soilNPercent_MHoriz_mean,soilNPercent_MHoriz_n,soilCPercent_MHoriz_mean,soilCPercent_MHoriz_n,soilCNRatio_MHoriz_mean,soilCNRatio_MHoriz_n,pctSand,pctSilt,pctClay,soil_nitrate_mean,soil_nitrate_n,soil_ammonium_mean,soil_ammonium_n,inorganicN
D02,SCBI,SCBI_062,tower,1.1300000000000001,8,43.165,8,42.4875,8,0.87,1,50.39,1,57.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_063,tower,1.21625,8,45.93625,8,45.05,8,0.78,1,49.63,1,63.3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_064,tower,0.93625,8,44.7425,8,55.9375,8,0.9,1,49.77,1,55.1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_066,tower,0.85625,8,45.74125,8,62.137499999999996,8,0.72,1,48.26,1,66.7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D02,SCBI,SCBI_067,tower,1.2157142857142857,7,45.62285714285714,7,44.65714285714286,7,NA,NA,NA,NA,NA,NA,2.64,3,45.97333333333333,3,17.8,3,NA,NA,NA,NA,NA,NA,0.25666666666666665,6,2.9916666666666667,6,11.483333333333334,6,NA,NA,NA,0.7132222222222222,18,0.948,18,1.6612222222222222
D03,DSNY,DSNY_041,tower,0.81,4,47.0625,4,63.6,4,NA,NA,NA,NA,NA,NA,1.01,1,45.9,1,45.4,1,NA,NA,NA,NA,NA,NA,0.07,6,1.5416666666666665,6,22.283333333333335,6,NA,NA,NA,0.07475,12,0.057833333333333334,18,0.13258333333333333
D03,DSNY,DSNY_042,tower,0.5800000000000001,4,49.375,4,91.8,4,NA,NA,NA,NA,NA,NA,1.1725,4,49.96,4,46.25,4,NA,NA,NA,NA,NA,NA,0.11333333333333333,3,2.92,3,22.266666666666666,3,NA,NA,NA,0.0999,10,0.1333888888888889,18,0.23328888888888888
D03,DSNY,DSNY_043,tower,0.7050000000000001,2,47.92,2,72.1,2,NA,NA,NA,NA,NA,NA,1.26,1,46.05,1,36.5,1,NA,NA,NA,NA,NA,NA,0.0575,4,1.2574999999999998,4,21.825,4,NA,NA,NA,0.067,11,0.06588235294117648,17,0.13288235294117648
D03,DSNY,DSNY_044,tower,0.635,2,47.725,2,74.85,2,NA,NA,NA,NA,NA,NA,0.6,1,48.59,1,81.6,1,NA,NA,NA,NA,NA,NA,0.085,2,2.06,2,23.5,2,96,2.7,1.3,0.06076923076923077,13,0.058333333333333334,18,0.1191025641025641
D03,DSNY,DSNY_045,tower,0.615,4,47.807500000000005,4,82.65,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_046,tower,0.5333333333333333,3,47.416666666666664,3,96.73333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_047,tower,0.52,2,47.355000000000004,2,93.75,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_048,tower,0.82,3,47.57666666666667,3,60.266666666666666,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_049,tower,0.6066666666666667,3,47.29,3,79.23333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_050,tower,0.565,4,47.3525,4,87.8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_051,tower,0.725,4,46.315,4,67.475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_052,tower,0.69,3,46.97,3,72.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_053,tower,0.59,3,48.33,3,89.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_054,tower,0.445,2,48.45,2,114.6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_055,tower,0.535,2,47.144999999999996,2,90.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_056,tower,0.51,1,47.84,1,93.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_057,tower,0.54,3,46,3,88.2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_058,tower,0.6,3,48.34666666666667,3,81.83333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_059,tower,0.7050000000000001,2,47.675,2,72.65,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_060,tower,0.9866666666666667,3,46.67333333333333,3,49.333333333333336,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_061,tower,0.7066666666666667,3,47.846666666666664,3,69.26666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_062,tower,0.52,4,50.067499999999995,4,113.05,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_063,tower,0.79,4,45.235,4,62.575,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_064,tower,0.9233333333333333,3,47.443333333333335,3,53.800000000000004,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_065,tower,0.86,4,46.7175,4,56.425,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_066,tower,1.15,4,46.6525,4,41.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_067,tower,0.39666666666666667,3,48.26,3,124.63333333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_068,tower,0.4066666666666667,3,49.24666666666666,3,121.76666666666667,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_069,tower,0.4425,4,46.3225,4,113.6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,DSNY,DSNY_070,tower,0.6525,4,47.9125,4,84.475,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D03,JERC,JERC_047,tower,0.7483333333333333,6,46.615,6,67.46666666666667,3,0.7050000000000001,2,48.58,2,93.5,2,1.325,2,46.120000000000005,2,35.3,2,NA,NA,NA,NA,NA,NA,0.035,4,0.81,4,22.1,4,90.66666666666667,5.2,4.133333333333333,0.10514285714285715,7,0.09752631578947368,19,0.20266917293233083
D03,JERC,JERC_048,tower,0.7216666666666667,6,46.38666666666667,6,71.1,3,0.5449999999999999,2,50.31,2,106.6,2,0.8,1,46.94,1,58.6,1,NA,NA,NA,NA,NA,NA,0.044000000000000004,5,1.176,5,26.42,5,79.35,12.15,8.5,0.1028,5,0.060444444444444446,18,0.16324444444444444
