"uid","analysisDate","namedLocation","domainID","siteID","plotID","plotType","collectDate","sampleID","cnSampleID","cnSampleCode","sampleType","acidTreatment","nitrogenPercent","organicCPercent","CNratio","cnPercentQF","percentAccuracyQF","analyticalRepNumber","remarks","laboratoryName","testMethod","instrument","analyzedBy","reviewedBy","dataQF","sampleCode"
"7af9b00e-9e63-4380-bd1b-063bcb0d80cb","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T16:11Z","BART_023-O-19-30-20140819","BART_023-O-19-30-20140819-CN",NA,"soil","N",2.06,47.24,23,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"738c7f5e-7a81-4027-97de-a88b9d3f76c4","2015-04-28","BART_023.basePlot.bgc","D01","BART","BART_023","distributed","2014-08-19T16:11Z","BART_023-M-19-30-20140819","BART_023-M-19-30-20140819-CN",NA,"soil","N",0.87,20.46,23.5,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"7bf890d0-87ea-4386-aa6c-4ce23b36899e","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T16:30Z","BART_005-M-33-2-20140819","BART_005-M-33-2-20140819-CN",NA,"soil","N",0.23,7.14,31.1,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"3334f0f1-85d5-4062-bbb3-69c687ebb6d5","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T16:30Z","BART_005-O-33-2-20140819","BART_005-O-33-2-20140819-CN",NA,"soil","N",1.9,56.69,29.8,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"2ce2757f-29c0-4edd-b7a9-6aeb007d286c","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T17:07Z","BART_005-M-4-9-20140819","BART_005-M-4-9-20140819-CN",NA,"soil","N",0.19,6.86,35.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"edb6448c-0d31-41b1-ad8a-d3676d9192cc","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T17:07Z","BART_005-O-4-9-20140819","BART_005-O-4-9-20140819-CN",NA,"soil","N",2.31,52.77,22.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"cb0f0057-0f6c-46c0-95c9-b062753cd3b2","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T17:34Z","BART_005-M-24-40-20140819","BART_005-M-24-40-20140819-CN",NA,"soil","N",0.4,12.67,31.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"f35d9e8e-1daf-478d-9744-968b4151e9c8","2015-04-28","BART_005.basePlot.bgc","D01","BART","BART_005","distributed","2014-08-19T17:34Z","BART_005-O-24-40-20140819","BART_005-O-24-40-20140819-CN",NA,"soil","N",1.64,53.83,32.8,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"a297fc85-6e50-4adf-bb1f-c0343c83b755","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T18:11Z","BART_001-O-15-1-20140819","BART_001-O-15-1-20140819-CN",NA,"soil","N",1.58,39.2,24.8,"0",NA,2,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"c8e8d662-238a-4635-84c9-3844d0d86609","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T18:11Z","BART_001-M-15-1-20140819","BART_001-M-15-1-20140819-CN",NA,"soil","N",0.36,11.39,31.5,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"6470626a-ba2a-445f-924c-ed27d7f5fafb","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T18:11Z","BART_001-O-15-1-20140819","BART_001-O-15-1-20140819-CN",NA,"soil","N",1.63,41.43,25.4,"0",NA,1,"Replicate samples","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"92970c0c-1a0b-4059-8c04-c6fe203b6786","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T18:40Z","BART_001-M-39-16-20140819","BART_001-M-39-16-20140819-CN",NA,"soil","N",0.7,12.59,17.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"f4f123d1-eb11-4a9f-926d-5e518f0ad9c2","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T18:40Z","BART_001-O-39-16-20140819","BART_001-O-39-16-20140819-CN",NA,"soil","N",1.85,48.68,26.4,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
"fd040db3-6704-4796-9772-316ea2f81d71","2015-04-28","BART_001.basePlot.bgc","D01","BART","BART_001","distributed","2014-08-19T19:01Z","BART_001-O-14-7-20140819","BART_001-O-14-7-20140819-CN",NA,"soil","N",1.67,58.19,34.9,"0",NA,1,"","University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15N, d13C, C% & N%",NA,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==","legacyData",NA
